"","LRT_Lat","LRT_Lon"
"893",38.737472,-90.461417
"894",NA,NA
"895",39.1279,-94.4722
"896",39.058139,-94.509722
"897",NA,NA
"898",39.162106,-94.482522
"899",NA,NA
"900",38.547861,-92.093472
"901",41.830409,-90.19931
"902",42.78738,-91.10093
"903",41.150073,-100.799042
"904",40.68242,-96.22576
"905",38.847678,-94.554149
"906",37.508942,-95.822476
"907",38.496243,-90.83622
"908",39.15,-94.63
"909",41.663498,-91.528636
"910",41.676965,-93.47836
"911",40.916984,-98.378873
"912",39.753332,-94.787372
"913",43.127331,-95.895155
"914",41.079172,-92.476437
"915",37.212416,-93.314401
"916",NA,NA
"917",NA,NA
"918",41.054573,-94.260941
"919",NA,NA
"920",38.1804,-90.3366
"921",42.033807,-91.631458
"922",43.140926,-93.201898
"923",37.753956,-100.009458
"924",41.1001,-96.1627
"925",41.178014,-92.036168
"926",39.105217,-94.599417
"927",41.335829,-96.11186
"928",NA,NA
"929",38.650183,-92.749451
"930",41.248538,-95.876732
"931",42.04783,-93.58044
"932",43.133708,-93.189212
"933",41.586825,-93.58611
"934",41.617238,-94.03103
"935",41.59578,-93.34831
"936",42.414119,-92.326786
"937",42.471083,-90.648861
"938",38.726708,-94.030216
"939",38.138389,-92.587167
"940",37.834458,-94.330624
"941",39.853314,-104.767292
"942",39.79666,-104.92255
"943",44.290168,-105.519398
"944",40.349511,-104.803485
"945",40.737056,-112.984111
"946",40.686111,-113.13333
"947",39.754722,-103.722222
"948",40.825001,-113.208334
"949",38.844429,-104.580688
"950",39.854769,-104.505735
"951",39.64333,-104.7083
"952",39.660835,-104.69666
"953",37.099018,-113.574981
"954",47.620556,-111.183889
"955",45.797778,-108.483888
"956",46.600556,-112.023888
"957",39.664428,-105.010789
"958",40.745591,-112.044208
"959",40.84654,-111.941802
"960",39.870715,-104.881303
"961",39.63126,-105.01764
"962",40.594263,-111.98644
"963",40.59599,-105.06929
"964",NA,NA
"965",34.007946,-118.233503
"966",NA,NA
"967",38.013699,-122.081077
"968",34.094113,-117.509086
"969",37.616518,-122.054063
"970",35.393611,-119.0525
"971",34.2573,-118.397952
"972",NA,NA
"973",36.6659,-120.1382
"974",38.559458,-121.194086
"975",34.024334,-118.349105
"976",NA,NA
"977",34.114332,-117.925799
"978",34.134456,-117.919992
"979",34.236114,-118.372918
"980",33.94999,-117.12088
"981",37.59744,-120.99361
"982",32.878044,-117.175947
"983",33.783395,-118.230046
"984",34.036441,-117.902294
"985",NA,NA
"986",34.2394,-118.3846
"987",33.896815,-118.267782
"988",34.418657,-119.677353
"989",36.815028,-119.885861
"990",34.141301,-118.711378
"991",32.697158,-117.123279
"992",36.756707,-121.735594
"993",NA,NA
"994",34.86312,-120.5443
"995",35.531125,-118.93203
"996",37.431879,-121.965643
"997",35.968595,-120.025566
"998",39.748644,-121.846099
"999",40.788835,-124.182436
"1000",NA,NA
"1001",35.403061,-119.615756
"1002",33.989924,-118.239508
"1003",NA,NA
"1004",37.36307,-121.886923
"1005",33.035978,-115.73713
"1006",33.09707,-117.314349
"1007",33.9949,-118.1539
"1008",37.960294,-121.256155
"1009",33.648839,-117.932017
"1010",33.787597,-118.215205
"1011",34.009844,-118.205305
"1012",37.714211,-122.191735
"1013",NA,NA
"1014",37.947334,-121.296541
"1015",32.814022,-116.967626
"1016",33.448748,-112.16292
"1017",33.916774,-118.039038
"1018",33.779805,-118.265554
"1019",NA,NA
"1020",NA,NA
"1021",37.968234,-122.368445
"1022",34.052374,-118.05263
"1023",35.460275,-118.898832
"1024",34.062892,-117.505668
"1025",NA,NA
